,S&P 500 Price,,,DAX Price
06-Jun-16,2109.41,,06-Jun-16,10121.08
07-06-16,2112.13,,07-06-16,10287.68
08-06-16,2119.12,,08-06-16,10217.03
09-06-16,2115.48,,09-06-16,10088.87
10-06-16,2096.07,,10-06-16,9834.62
11-06-16,2096.07,,11-06-16,9834.62
12-06-16,2096.07,,12-06-16,9834.62
13-06-16,2079.06,,13-06-16,9657.44
14-06-16,2075.32,,14-06-16,9519.2
15-06-16,2071.5,,15-06-16,9606.71
16-06-16,2077.99,,16-06-16,9550.47
17-06-16,2071.22,,17-06-16,9631.36
18-06-16,2071.22,,18-06-16,9631.36
19-06-16,2071.22,,19-06-16,9631.36
20-06-16,2083.25,,20-06-16,9962.02
21-06-16,2088.9,,21-06-16,10015.54
22-06-16,2085.45,,22-06-16,10071.06
23-06-16,2113.32,,23-06-16,10257.03
24-06-16,2037.41,,24-06-16,9557.16
25-06-16,2037.41,,25-06-16,9557.16
26-06-16,2037.41,,26-06-16,9557.16
27-06-16,2000.54,,27-06-16,9268.66
28-06-16,2036.09,,28-06-16,9447.28
29-06-16,2070.77,,29-06-16,9612.27
30-06-16,2098.86,,30-06-16,9680.09
01-07-16,2102.95,,01-07-16,9776.12
02-07-16,2102.95,,02-07-16,9776.12
03-07-16,2102.95,,03-07-16,9776.12
04-07-16,2102.95,,04-07-16,9709.09
05-07-16,2088.55,,05-07-16,9532.61
06-07-16,2099.73,,06-07-16,9373.26
07-07-16,2097.9,,07-07-16,9418.78
08-07-16,2129.9,,08-07-16,9629.66
09-07-16,2129.9,,09-07-16,9629.66
10-07-16,2129.9,,10-07-16,9629.66
11-07-16,2137.16,,11-07-16,9833.41
12-07-16,2152.14,,12-07-16,9964.07
13-07-16,2152.43,,13-07-16,9930.71
14-07-16,2163.75,,14-07-16,10068.3
15-07-16,2161.74,,15-07-16,10066.9
16-07-16,2161.74,,16-07-16,10066.9
17-07-16,2161.74,,17-07-16,10066.9
18-07-16,2166.89,,18-07-16,10063.13
19-07-16,2163.78,,19-07-16,9981.24
20-07-16,2173.02,,20-07-16,10142.01
21-07-16,2165.17,,21-07-16,10156.21
22-07-16,2175.03,,22-07-16,10147.46
23-07-16,2175.03,,23-07-16,10147.46
24-07-16,2175.03,,24-07-16,10147.46
25-07-16,2168.48,,25-07-16,10198.24
26-07-16,2169.18,,26-07-16,10247.76
27-07-16,2166.58,,27-07-16,10319.55
28-07-16,2170.06,,28-07-16,10274.93
29-07-16,2173.6,,29-07-16,10337.5
30-07-16,2173.6,,30-07-16,10337.5
31-07-16,2173.6,,31-07-16,10337.5
01-08-16,2170.84,,01-08-16,10330.52
02-08-16,2157.03,,02-08-16,10144.34
03-08-16,2163.79,,03-08-16,10170.21
04-08-16,2164.25,,04-08-16,10227.86
05-08-16,2182.87,,05-08-16,10367.21
06-08-16,2182.87,,06-08-16,10367.21
07-08-16,2182.87,,07-08-16,10367.21
08-08-16,2180.89,,08-08-16,10432.36
09-08-16,2181.74,,09-08-16,10692.9
10-08-16,2175.49,,10-08-16,10650.89
11-08-16,2185.79,,11-08-16,10742.84
12-08-16,2184.05,,12-08-16,10713.43
13-08-16,2184.05,,13-08-16,10713.43
14-08-16,2184.05,,14-08-16,10713.43
15-08-16,2190.15,,15-08-16,10739.21
16-08-16,2178.15,,16-08-16,10676.65
17-08-16,2182.22,,17-08-16,10537.67
18-08-16,2187.02,,18-08-16,10603.03
19-08-16,2183.87,,19-08-16,10544.36
20-08-16,2183.87,,20-08-16,10544.36
21-08-16,2183.87,,21-08-16,10544.36
22-08-16,2182.64,,22-08-16,10494.35
23-08-16,2186.9,,23-08-16,10592.88
24-08-16,2175.44,,24-08-16,10622.97
25-08-16,2172.47,,25-08-16,10529.59
26-08-16,2169.04,,26-08-16,10587.77
27-08-16,2169.04,,27-08-16,10587.77
